VIOLENT_CRIME_FLAG;REPORTING_AREA_ENCODED;OFFENSE_CODE_GROUP_ENCODED;DAY_OF_WEEK_ENCODED;COUNT_CRIMES_ENCODED
0;465;62;4;0
0;394;5;6;0
0;607;40;2;1
0;805;62;4;1
0;169;46;1;1
1;615;15;0;0
1;317;35;2;0
1;332;45;1;0
1;188;64;2;1
0;82;40;4;0
1;717;61;1;3
0;285;52;1;1
1;791;57;1;0
0;297;62;1;1
1;811;43;2;5
0;390;62;3;0
0;161;34;1;0
0;510;32;3;0
1;235;31;2;0
0;67;32;2;0
1;477;42;2;0
1;595;65;3;0
0;417;40;3;4
0;1;51;3;0
0;869;32;6;0
0;717;37;5;1
1;566;43;6;5
1;850;58;3;1
1;129;66;1;0
1;251;58;6;0
1;253;6;3;0
0;658;34;1;0
0;766;11;5;0
0;35;32;1;11
0;253;34;0;14
0;581;46;2;1
1;111;41;5;0
1;404;41;5;0
1;231;61;0;1
1;272;31;2;3
1;32;63;4;1
1;1;64;2;0
0;93;46;5;0
1;245;0;1;1
0;126;62;4;3
1;765;49;1;0
0;396;11;4;1
1;820;35;2;0
0;710;46;4;0
1;73;42;1;1
1;781;43;4;0
0;149;52;1;1
1;173;43;0;13
0;502;56;1;0
1;665;43;2;1
0;582;52;0;5
1;86;50;3;0
1;824;63;2;0
0;301;37;4;0
0;209;51;4;0
1;394;15;6;1
0;760;46;5;1
0;390;11;6;1
1;741;27;0;0
1;465;49;3;0
1;702;35;1;0
0;626;32;6;0
1;230;66;3;1
0;374;11;1;0
1;227;58;3;0
0;783;4;3;0
1;753;53;0;0
1;346;64;6;0
1;190;58;6;2
1;486;41;5;0
0;532;46;0;1
1;23;61;5;3
1;77;61;6;0
1;719;65;4;0
1;609;63;5;6
0;536;56;6;2
1;559;61;5;1
0;775;62;0;0
1;198;15;2;11
0;335;5;5;0
0;79;4;0;2
1;150;63;3;1
1;391;41;6;0
0;72;11;1;0
1;756;35;0;0
0;364;52;1;0
1;198;43;4;7
0;488;32;6;0
0;558;19;6;0
0;340;56;0;0
0;231;46;5;0
1;717;66;5;0
0;866;40;6;1
1;268;31;6;3
0;242;40;6;12
1;862;65;5;0
1;483;31;6;0
0;18;34;4;8
1;757;63;3;3
1;191;64;6;8
1;164;66;2;0
0;442;52;1;0
1;394;64;2;7
0;766;56;0;4
1;69;64;6;0
0;303;22;4;1
1;332;42;2;0
1;47;65;1;0
0;524;32;5;7
1;328;64;0;0
1;728;14;4;0
1;96;15;3;0
1;757;31;3;3
1;31;41;4;1
1;3;58;0;3
1;852;35;5;0
1;374;42;6;0
0;724;34;0;0
0;567;34;4;3
1;334;43;4;6
0;216;21;0;0
0;483;22;1;0
1;807;35;2;1
1;401;63;2;3
0;277;36;6;0
1;250;14;6;0
0;226;32;0;0
1;262;35;2;1
1;561;63;6;0
1;575;35;4;4
1;728;0;4;1
1;559;3;3;1
1;212;27;6;0
1;176;55;3;0
0;110;56;2;0
1;706;61;2;1
1;849;31;3;3
1;534;63;2;4
1;293;58;0;0
1;7;31;0;4
0;852;62;6;0
0;786;34;6;1
1;28;0;2;0
1;360;66;5;2
0;122;34;1;0
1;333;65;2;2
1;233;63;3;0
0;162;52;5;0
1;527;43;5;5
0;531;22;3;0
1;426;64;2;1
0;662;34;4;4
1;91;58;6;0
1;177;64;2;2
0;77;34;3;1
1;45;35;0;0
0;542;34;3;0
1;326;27;6;0
0;599;11;2;0
1;590;29;2;0
0;876;38;0;1
0;800;40;4;4
0;526;52;3;0
1;442;61;4;1
1;823;41;0;0
1;536;6;2;0
0;572;4;3;0
1;874;0;4;1
1;377;65;6;1
1;170;41;0;1
1;647;43;0;2
0;760;40;0;2
0;832;52;2;2
0;874;34;4;19
0;345;60;2;0
1;381;65;6;0
1;222;27;4;0
0;765;32;6;2
1;279;63;6;5
1;158;43;2;3
0;421;52;3;1
0;685;22;4;0
1;753;63;3;1
0;480;46;4;0
0;854;32;4;2
0;685;19;2;0
1;393;31;0;2
0;497;40;4;2
1;571;35;5;0
1;229;43;3;4
1;111;43;2;1
1;606;63;6;0
1;182;65;4;2
1;860;14;6;1
0;656;52;4;1
1;333;15;2;0
1;64;14;6;0
1;135;35;5;3
0;775;5;5;0
0;357;62;5;1
0;94;22;1;0
1;346;0;4;0
1;478;61;6;0
1;286;43;1;2
1;848;43;4;0
0;783;40;4;1
1;158;43;4;2
0;15;22;0;0
1;218;63;2;1
1;544;42;4;1
0;98;46;3;1
0;399;62;0;1
1;814;0;1;3
1;744;43;3;1
1;46;35;2;1
1;248;31;3;0
1;804;43;1;0
1;536;14;5;0
0;155;62;4;0
0;591;52;1;0
0;520;5;4;1
0;200;32;3;2
0;723;40;1;0
1;193;61;3;0
0;32;37;2;6
1;97;58;6;0
1;127;15;6;2
1;305;64;5;0
1;514;15;1;2
0;582;51;4;0
1;149;41;3;0
1;35;27;5;1
1;741;63;2;2
0;249;59;4;0
1;528;35;0;5
1;842;66;4;2
1;286;65;2;2
1;293;42;1;0
1;850;14;1;0
1;360;63;4;3
1;854;31;1;14
1;766;31;5;0
0;411;62;3;0
1;425;41;6;0
1;765;61;3;2
1;282;15;6;16
1;22;61;1;1
0;118;37;2;1
1;439;0;6;0
0;204;34;1;3
1;22;66;0;6
0;523;51;2;0
0;764;62;4;7
1;578;31;2;3
1;267;64;2;4
0;158;4;5;0
0;497;34;6;2
0;297;62;6;1
1;78;63;1;1
1;176;64;2;5
0;342;46;2;0
0;382;46;1;0
1;153;58;0;0
1;779;31;2;1
1;273;43;5;3
1;144;27;5;1
1;31;42;4;1
0;846;34;5;2
0;863;32;5;0
0;67;56;1;0
1;212;66;4;0
1;88;14;0;3
1;771;61;2;0
1;852;41;0;1
0;230;40;0;4
1;382;42;3;4
1;47;43;2;2
0;618;40;1;4
1;188;66;6;0
0;763;51;4;0
0;838;46;5;1
0;182;52;6;0
0;780;32;4;1
0;585;34;4;0
1;663;43;2;0
1;201;41;4;0
0;332;56;4;0
1;39;66;0;1
1;576;27;3;0
1;143;63;3;0
1;250;66;3;1
1;416;31;3;1
0;696;22;1;0
1;661;43;4;1
1;393;31;2;3
0;316;4;1;0
1;278;0;2;0
0;208;51;5;3
1;568;31;6;1
0;876;37;0;0
0;11;52;2;4
0;374;21;2;0
1;92;61;0;1
1;573;43;3;3
0;381;60;2;0
1;584;43;1;1
1;811;57;2;1
1;286;66;1;2
0;516;40;0;0
1;143;61;4;3
1;874;58;6;0
1;189;35;0;3
1;704;15;6;0
0;78;40;4;2
1;852;43;5;0
0;72;62;4;1
1;561;43;0;4
1;380;45;6;0
1;864;27;6;0
0;393;40;0;3
1;286;65;4;0
1;512;20;4;0
0;532;62;4;3
0;748;51;1;4
1;738;27;0;0
0;362;19;6;0
1;79;31;5;5
1;850;63;1;0
0;135;51;2;0
1;825;64;2;1
0;80;10;1;0
1;278;64;3;0
1;646;43;6;1
1;350;35;1;1
0;518;56;0;0
0;392;40;6;0
1;174;45;3;0
0;555;52;3;0
0;667;40;2;0
1;91;27;3;0
0;70;52;4;1
1;850;58;0;1
0;489;34;6;0
0;80;11;5;0
0;159;22;3;0
1;1;0;3;0
0;872;32;3;0
1;559;58;6;0
0;528;34;6;3
0;206;34;6;13
1;133;44;1;0
1;256;6;0;0
0;96;62;4;1
0;585;52;0;3
1;805;27;1;0
0;135;22;1;2
1;741;43;3;2
1;308;64;6;1
0;63;62;4;3
1;75;41;5;0
0;307;22;5;2
1;555;49;3;0
1;59;63;1;0
0;703;34;3;0
1;350;0;3;0
1;153;55;5;0
0;253;32;6;5
0;638;52;6;0
1;94;63;0;0
1;52;61;2;2
0;575;34;3;15
1;132;31;4;0
1;691;55;5;0
0;267;46;6;4
0;331;56;5;0
0;414;32;1;0
1;16;43;4;5
1;578;63;1;1
1;227;63;4;0
0;350;34;5;0
1;609;43;6;3
0;72;62;1;0
0;105;56;5;1
0;609;62;3;1
1;378;63;5;4
1;876;14;3;2
1;61;31;3;1
1;263;42;0;0
0;720;52;5;0
1;4;61;2;8
0;752;56;6;0
0;305;62;0;0
1;241;43;1;8
0;3;52;1;2
1;837;63;0;0
1;317;58;4;0
1;522;64;4;2
1;76;61;4;1
0;82;4;5;0
1;566;0;6;0
1;3;58;6;1
0;564;22;0;0
1;399;55;2;0
1;601;65;4;0
1;86;65;6;0
0;756;40;2;0
0;14;17;3;0
1;35;0;4;0
1;227;41;1;2
0;305;11;3;1
1;758;63;2;1
1;860;31;5;0
1;765;43;0;10
1;91;43;6;4
1;803;58;4;0
1;42;66;2;0
1;254;64;2;1
1;501;35;0;0
0;500;52;6;0
0;173;4;1;2
1;510;63;5;3
0;323;19;6;0
1;94;64;4;0
1;775;54;6;0
0;280;32;2;1
1;184;31;0;0
1;69;65;6;0
0;685;52;4;0
1;237;31;3;2
0;81;32;6;0
0;580;40;3;0
0;4;40;4;9
1;387;58;6;0
1;722;43;5;2
0;332;32;6;0
0;407;22;2;0
1;742;27;6;0
0;22;32;1;2
1;260;31;1;4
0;96;32;5;1
1;225;15;6;7
0;512;62;5;0
1;79;49;2;1
0;581;32;6;1
0;143;56;0;2
0;32;22;4;0
0;272;62;0;1
0;757;10;0;0
1;317;64;6;1
1;252;44;4;0
1;849;61;0;0
0;760;62;3;1
1;3;61;0;9
1;284;50;5;0
1;261;41;4;2
0;684;52;2;0
0;589;5;2;0
1;494;43;3;0
0;70;51;0;0
0;515;34;1;0
0;436;47;4;0
0;537;46;1;1
1;313;66;6;0
1;433;61;0;1
1;540;35;6;1
1;22;65;2;0
0;522;32;1;2
1;576;66;0;0
1;291;42;0;0
1;207;3;2;0
0;20;40;5;4
1;259;35;1;2
0;94;59;1;0
0;723;52;4;1
1;4;0;5;1
0;749;62;6;1
1;162;64;6;3
0;63;4;6;0
0;414;40;5;0
0;282;51;2;1
1;239;64;4;4
0;164;32;4;1
1;356;31;0;1
0;566;11;4;0
1;593;15;5;2
0;798;46;5;6
1;399;65;6;2
0;262;46;0;6
1;615;61;5;0
0;371;34;6;0
1;535;3;1;0
1;360;35;4;0
0;379;40;1;2
0;25;40;5;0
1;328;65;6;2
0;85;34;5;0
1;428;43;3;0
0;48;22;1;0
0;522;46;5;9
0;775;19;1;0
0;176;11;6;0
1;250;58;4;2
0;400;5;1;0
0;305;40;2;3
0;402;34;0;4
0;628;22;4;5
1;194;63;0;4
1;304;63;2;0
0;188;34;3;5
0;391;32;4;0
1;381;66;6;1
0;262;40;6;8
0;505;40;3;0
0;560;56;5;1
1;746;63;0;0
0;248;46;5;4
0;450;52;0;0
1;78;64;3;3
1;407;61;4;0
1;854;31;0;7
0;440;62;2;0
1;465;66;1;1
0;49;10;6;0
0;825;22;1;1
1;417;64;3;1
1;71;66;5;0
1;578;0;3;1
1;228;27;3;1
1;645;49;6;0
1;873;0;4;1
1;711;41;3;0
1;87;27;3;0
1;672;49;5;0
1;552;66;2;0
1;726;35;6;0
1;701;43;1;1
1;327;57;3;0
0;424;34;3;0
1;317;58;0;1
1;508;53;0;1
1;512;31;3;4
0;148;34;6;0
1;472;15;0;3
1;393;65;6;1
0;599;56;2;0
0;855;52;2;1
0;204;11;4;0
0;596;17;5;0
1;332;63;6;0
0;104;5;1;0
0;623;52;1;2
0;75;22;4;1
0;365;5;1;1
1;161;61;2;0
0;79;62;2;1
1;374;35;0;0
1;169;43;1;5
1;289;65;4;0
0;35;52;6;8
1;370;44;0;0
1;752;15;0;0
0;597;32;4;2
1;398;43;3;3
0;199;38;2;0
1;217;0;4;2
1;459;63;4;1
1;466;43;1;2
1;388;43;5;2
1;463;61;5;0
0;347;5;0;0
0;481;32;4;1
0;748;59;4;1
1;205;63;2;0
1;556;3;0;4
1;749;43;0;3
1;340;43;5;2
0;585;40;0;7
1;566;61;3;4
1;768;58;1;0
0;63;40;2;1
0;737;40;3;1
1;18;58;3;1
0;184;62;0;0
1;565;43;3;3
0;303;19;5;0
1;276;35;5;2
1;858;65;1;0
1;739;15;0;5
1;575;61;0;4
1;90;35;0;1
0;841;34;6;10
0;578;46;2;0
1;774;14;5;0
0;14;16;6;0
0;528;46;0;1
0;358;22;5;1
0;79;22;3;0
0;496;34;6;0
0;325;40;6;0
1;748;43;5;1
1;853;63;4;1
1;92;53;6;1
1;260;31;5;7
0;379;34;6;0
0;78;12;0;0
1;491;61;5;0
0;97;32;2;0
1;797;41;6;0
0;579;34;3;24
