OBJECTID,SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,MUN_L,MUN_R,CFCC,SPEEDLIMIT,ONEWAY,HEIGHT,WEIGHT,WIDTH,F_ZLEV,T_ZLEV,SHIELD,HWY_NUM,NBHD_L,NBHD_R,FT_COST,TF_COST,TF_DIR,FT_DIR,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,PLACE00_L,PLACE00_R,TRACT00_L,TRACT00_R,BLOCK00_L,BLOCK00_R,MCD00_L,MCD00_R,STREET_ID,SHAPElen
5988,7279,32,38,29,39,,Saint Marks,RD,,Boston,Boston,A41,20,,,,,0,0,,,Dorchester,Dorchester,0.093,0.093, , ,MA,MA,025,025,07000,07000,02124,02124, , ,07000,07000,3725,147.021598902489
5989,7280,40,44,41,51,,Saint Marks,RD,,Boston,Boston,A41,20,,,,,0,0,,,Dorchester,Dorchester,0.095,0.095, , ,MA,MA,025,025,07000,07000,02124,02124, , ,07000,07000,3725,184.295013667963
5990,7282,2,24,1,25,,Saint Peter,ST,,Boston,Boston,A41,20,,,,,0,0,,,Jamaica Plain,Jamaica Plain,0.301,0.301, , ,MA,MA,025,025,07000,07000,02130,02130, , ,07000,07000,3729,523.658033661529
5991,7284,14,28,7,27,,Saint Rose,ST,,Boston,Boston,A41,20,,,,,0,0,,,Jamaica Plain,Jamaica Plain,0.19,0.19, , ,MA,MA,025,025,07000,07000,02130,02130, , ,07000,07000,3731,192.094061793245
5992,7285,30,36,29,31,,Saint Rose,ST,,Boston,Boston,A41,20,,,,,0,0,,,Jamaica Plain,Jamaica Plain,0.063,0.063, , ,MA,MA,025,025,07000,07000,02130,02130, , ,07000,07000,3731,117.341046067006
5993,7286,35,33,,,,Saint Rose,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Jamaica Plain,Jamaica Plain,0.089,-1, , ,MA,MA,025,025,07000,07000,02130,02130, , ,07000,07000,3731,165.434868249959
5994,7287,2,12,1,9,,Saint Stephen,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,0.134,-1, , ,MA,MA,025,025,07000,07000,02115,02115, , ,07000,07000,3732,211.360889204598
5995,7288,14,24,11,19,,Saint Stephen,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,0.134,-1, , ,MA,MA,025,025,07000,07000,02115,02115, , ,07000,07000,3732,28.2776318012325
5996,7289,26,32,21,25,,Saint Stephen,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,0.067,-1, , ,MA,MA,025,025,07000,07000,02115,02115, , ,07000,07000,3732,116.669184444795
5997,7291,2,4,1,3,,Stacey,ST,,Boston,Boston,A41,15,,,,,0,0,,,Charlestown,Charlestown,0.101,0.101, , ,MA,MA,025,025,07000,07000,02129,02129, , ,07000,07000,3959,112.357502242416
5998,7294,2,6,1,7,,Stanbro,ST,,Boston,Boston,A41,20,,,,,0,0,,,Hyde Park,Hyde Park,0.136,0.136, , ,MA,MA,025,025,07000,07000,02136,02136, , ,07000,07000,3962,243.297848646613
5999,7295,8,18,9,19,,Stanbro,ST,,Boston,Boston,A41,20,,,,,0,0,,,Hyde Park,Hyde Park,0.166,0.166, , ,MA,MA,025,025,07000,07000,02136,02136, , ,07000,07000,3962,287.126192911004
6000,7296,20,28,21,29,,Stanbro,ST,,Boston,Boston,A41,20,,,,,0,0,,,Hyde Park,Hyde Park,0.16,0.16, , ,MA,MA,025,025,07000,07000,02136,02136, , ,07000,07000,3962,279.74962563375
6001,7297,30,36,31,45,,Stanbro,ST,,Boston,Boston,A41,20,,,,,0,0,,,Hyde Park,Hyde Park,0.16,0.16, , ,MA,MA,025,025,07000,07000,02136,02136, , ,07000,07000,3962,281.450382112373
